English,Korean,Other,DL,ISSUE,CC SRC,Validate,Assign,Genres,List,Link,IMDb
Steel Rain 2,강철비 2: 정상회담,Steel Rain 2: Summit,1,resolved,opensubs,1,-done,"action, drama",viki,https://www.imdb.com/title/tt10516176/?ref_=nv_sr_srsg_0,1
Stranger,비밀의 숲,Secret Forest,1,---,netflix,1,-done,"cerebral, suspenseful, thriller, crime",netflix,https://www.imdb.com/title/tt6461346/?ref_=nv_sr_srsg_5,1
Strongest Deliveryman,최강 배달꾼,最強 配達꾼,1,---,Netflix,1,-done,"Sentimental, Inspiring, Drama, Romantic",netflix,https://www.imdb.com/title/tt7022748/?ref_=nv_sr_srsg_0,1
Svaha: The Sixth Finger,사바하,娑婆訶,1,---,netflix,1,-done,"chilling, scary, mystery, suspenseful, thriller",netflix,https://www.imdb.com/title/tt7299298/?ref_=nv_sr_srsg_0,1
Sweet & Sour,새콤달콤,---,1,---,netflix,1,-done,"romantic, comedy, based on books",netflix,https://www.imdb.com/title/tt14599938/?ref_=nv_sr_srsg_0,1
Sweet Home,스위트홈,---,1,---,netflix,1,-done,"scary, suspenseful, horror, drama, based on webtoon",netflix,https://www.imdb.com/title/tt11612120/?ref_=nv_sr_srsg_0,1
Tale of the Nine-Tailed,구미호뎐,九尾狐傳___Tale of The Nine-Tailed Fox,1,---,viki,1,-done,"romance, fantasy",listed,https://www.imdb.com/title/tt12879418/?ref_=nv_sr_srsg_0,1
Tasty Ending,맛있는 엔딩,---,1,skvpn,Netflix,1,-done,"sentimental, heartfelt, drama",listed,https://mydramalist.com/700623-tasty-ending,0
Tayo and Little Wizards,---,---,1,---,netflix,1,-done,"magical, exciting, kids, cartoons",netflix,https://en.wikipedia.org/wiki/Tayo_the_Little_Bus,0
Tayo the Little Bus,꼬마버스 타요,---,1,only season 4 is Korean OA,netflix,1,-done,"feel-good, goofy, educational, kids, cartoon",netflix,https://www.imdb.com/title/tt3270208/,1
"That Winter, the Wind Blows","그 겨울, 바람이 분다",---,1,---,Netflix,1,-done,"Emotional, Romantic, Drama",netflix,https://www.imdb.com/title/tt2806646/?ref_=nv_sr_srsg_0,1
The 8th Night,제8일의 밤,---,1,---,netflix,1,-done,"chilling, scary, supernatural, horror, dark",netflix,https://www.imdb.com/title/tt14781176/?ref_=nv_sr_srsg_0,1
The Battleship Island,군함도,軍艦島,1,---,netflix,1,-done,"actiona, ensemble, social issues, adventure, drama",netflix,https://www.imdb.com/title/tt5969696/?ref_=nv_sr_srsg_0,1
The Beast and the Beauty,뷰티 앤 더 비스트,---,1,skvpn,Netflix,1,-done,"feel-good, romantic, comedy",listed,https://www.imdb.com/title/tt0485553/,1
The Berlin File,베를린,"""Berlin""",1,---,Netflix,1,-done,"Suspenseful, Exciting, Action, Adventure, Spy",netflix,https://www.imdb.com/title/tt2357377/?ref_=nv_sr_srsg_0,1
The Bride of Habaek,하백의 신부 2017,The Bride of Habaek 2017___Bride of the Water God 2017,1,resolved,Viki,1,-done,"swoonworthy, charming, fantasy, drama, based on web-toon, romantic",netflix,https://www.imdb.com/title/tt6385752/?ref_=nv_sr_srsg_0,1
The Call,콜,---,1,---,Netflix,1,-done,"Chilling, Psychological, Thriller, Scary",netflix,https://www.imdb.com/title/tt10530176/?ref_=nv_sr_srsg_0,1
The Chase,반드시 잡는다,---,1,sk vpn,netflix,1,-done,"suspenseful, thriller, slow burn, drama",netflix,https://www.imdb.com/title/tt8088944/?ref_=nv_sr_srsg_6,1
The Chaser,추격자,---,1,sk vpn,netflix,1,-done,"violent, suspenseful, thriller",listed,https://www.imdb.com/title/tt1190539/?ref_=nv_sr_srsg_0,1
The Crowned Clown,왕이 된 남자,王이 된 男子___The Man who Became King,1,resolved,Viki,1,-done,"emotional, exciting, period piece, romantic, drama",netflix,https://www.imdb.com/title/tt9266592/?ref_=nv_sr_srsg_0,1
The Cursed Lesson,요가학원: 죽음의 쿤달리니,요가학원: 죽음의 쿤달리니,1,sk vpn,netflix,1,-done,"scary, dark, supernatural, horror",listed,https://www.imdb.com/title/tt13478812/?ref_=nv_sr_srsg_0,1
The Drug King,마약왕,麻藥王,1,---,netflix,1,-done,"violent, true crime, drug lord, based on real life, drama",netflix,https://www.imdb.com/title/tt6914542/?ref_=nv_sr_srsg_0,1
The Fortress,남한산성,南漢山城,1,---,netflix,1,-done,"period piece, ensemble, military",netflix,https://www.imdb.com/title/tt7160176/?ref_=nv_sr_srsg_0,1
The Girl on a Bulldozer,불도저에 탄 소녀,---,1,skvpn,Netflix,1,-done,"crime, mystery, drama, emotional, corruption",listed,https://www.imdb.com/title/tt19632924/?ref_=nv_sr_srsg_0,1
The Good Detective,모범형사,模範刑事___A Model Detective,1,sk vpn,netflix,1,-done,"cerebral, suspenseful, thriller, crime",netflix,https://www.imdb.com/title/tt12504214/?ref_=nv_sr_srsg_0,1
The Guest,손 the guest,---,1,sk vpn,netflix,1,-done,"ominous, chilling, horror, mysteries, based on books, scary",netflix,https://www.imdb.com/title/tt8801670/?ref_=fn_tt_tt_3,1
The Haunted House,신비아파트,---,1,---,netflix,1,-done,"magical, ominous, kids, heartfelt, cartoons",netflix,https://www.imdb.com/title/tt9518312/?ref_=nv_sr_srsg_0,1
The Hungry and the Hairy,먹보와 털보,Glutton & Furry,1,---,netflix,1,-done,"relaxing, fell-good, lifestyle, food, travel",netflix,https://www.imdb.com/title/tt16088530/?ref_=nv_sr_srsg_0,1
The K2,더 케이투,K2,1,resolved,viki,1,-done,"explosive, exciting, action, romantic, drama, political",netflix,https://www.imdb.com/title/tt5966882/?ref_=nv_sr_srsg_0,1
The King: Eternal Monarch,더 킹: 영원의 군주,더 킹: 永遠의 君主,1,---,netflix,1,-done,"swoonworthy, emotional, fantasy, romantic, drama",netflix,https://www.imdb.com/title/tt11228748/?ref_=nv_sr_srsg_0,1
The King's Affection,연모,Affection,1,---,netflix,1,-done,"emotional, romantic, period piece, drama, based on comics",netflix,https://www.imdb.com/title/tt14609428/?ref_=nv_sr_srsg_0,1
The Lies Within,모두의 거짓말,Everyone's Lies,1,---,netflix,1,-done,"suspenseful, thriller, slowburn, crime, political",netflix,https://www.imdb.com/title/tt10919902/?ref_=nv_sr_srsg_3,1
The Miracle,더 미라클,My Secret Diary,1,---,netflix,1,-done,"quirky, romantic, dramedy, drama, comedy",netflix,https://www.imdb.com/title/tt6703344/?ref_=fn_tt_tt_10,1
The Pirates: The Last Royal Treasure,해적: 도깨비 깃발,海賊: 도깨비 旗발___The Pirates: Goblin Flag,1,---,Netflix,1,-done,"Explosive, Exciting, Action, Adventure, Comedy",netflix,https://www.imdb.com/title/tt17491040/?ref_=nv_sr_srsg_0,1
The Raincoat Killer: Chasing a Predator in Korea,레인코트 킬러: 유영철을 추격하다,Raincoat Killer: Chase Yu Young Chul,1,---,Netflix,1,-done,"Dark, True Crime, Serial Killer, Docuseries, Crime",netflix,https://www.imdb.com/title/tt15484900/?ref_=nv_sr_srsg_0,1
The Red Sleeve,옷소매 붉은 끝동,The Red Sleeve Cuff,1,---,viki,1,-done,"drama, romance, period piece",viki,https://www.imdb.com/title/tt14687200/?ref_=nv_sr_srsg_0,1
The Reservoir Game,저수지 게임,---,1,sk vpn,netflix,1,-done,"investigative, documentary, fraud",netflix,https://www.imdb.com/title/tt7867724/?ref_=nv_sr_srsg_8,1
The School Nurse Files,보건교사 안은영,保健教師 안은영___School Nurse Ahn Eun-young,1,---,Netflix,1,-done,"Fantasy, Based on Books, Quirky, High School",netflix,https://www.imdb.com/title/tt12879522/?ref_=nv_sr_srsg_0,1
The Silent Sea,고요의 바다,---,1,---,Netflix,1,-done,"Mysteries, Sci-Fi, Suspenseful, Dystopian",netflix,https://www.imdb.com/title/tt11570202/?ref_=nv_sr_srsg_0,1
The Sound of Magic,안나라수마나라,---,1,---,netflix,1,-done,"heartfelt, emotional, musical, music, drama, based on webtoon",netflix,https://www.imdb.com/title/tt14460684/?ref_=nv_sr_srsg_0,1
The Sound of Your Heart,마음의 소리,---,1,live action,Netflix,1,-done,"Absurd, Goofy, Sitcom, Based on Webtoon, comedy, drama",netflix,https://www.imdb.com/title/tt4613520/?ref_=nv_sr_srsg_0,1
The Sound of Your Heart (Animation),마음의 소리,---,1,animation,Netflix,1,-done,"Absurd, Goofy, Sitcom, Based on Webtoon, comedy, animation",netflix,https://en.wikipedia.org/wiki/The_Sound_of_Heart,0
The Sound of Your Heart Special 1,마음의 소리 스페셜 1,---,1,animation,Netflix,1,-done,"Absurd, goofy, comedy, based on webtoon, animation",netflix,https://en.wikipedia.org/wiki/The_Sound_of_Heart,0
The Sound of Your Heart: Reboot,마음의 소리 리부트,마음의 소리-리부트:얼간이들___Sound of Your Heart - Reboot: Jerks___Sound of Your Heart: Season 2,1,"sk vpn
Note: live action",netflix,1,-done,"Goofy, Sitcom, loveable loser, based on webtoon, comedy",netflix,https://www.imdb.com/title/tt7885558/?ref_=nv_sr_srsg_1,1
The Thieves,도둑들,The Professionals,1,---,netflix,1,-done,"action, crime, mystery, drama",listed,https://www.imdb.com/title/tt2330866/?ref_=nv_sr_srsg_0,1
The Uncanny Counter,경이로운 소문,Amazing So Mun___Amazing Rumor,1,---,Netflix,1,-done,"Exciting, fantasy, ensemble, based on webtoon, drama",netflix,https://www.imdb.com/title/tt13273826/?ref_=nv_sr_srsg_0,1
The Unjust,부당거래,Unfair trade___Bad Deal,1,---,netflix,1,-done,"gritty, dark, film noir, drama, social issue, suspenseful",netflix,https://www.imdb.com/title/tt1843120/?ref_=nv_sr_srsg_0,1
The World of the Married,부부의 세계,夫婦의 世界___Couple's World,1,skvpn,Netflix,1,-done,"dark, suspenseful, drama, romantic",listed,https://www.imdb.com/title/tt12042964/?ref_=nv_sr_srsg_0,1
Thirty-Nine,"서른, 아홉","Thirty, Nine",1,---,Netflix,1,-done,"heartfelt, emotional, drama, romantic",netflix,https://www.imdb.com/title/tt15181094/?ref_=nv_sr_srsg_0,1
Time to Hunt,사냥의 시간,---,1,---,netflix,1,-done,"dystopian, gritty, thriller",netflix,https://www.imdb.com/title/tt11777040/?ref_=nv_sr_srsg_0,1
Titipo Titipo,띠띠뽀 띠띠뽀,Titipo the Little Train,1,note: first season not korean OA,Netflix,1,-done,"feel-good, kids, cartoon",netflix,https://www.imdb.com/title/tt12987396/?ref_=nv_sr_srsg_0,1
Tomorrow,내일,來日,1,---,Netflix,1,-done,"emotional, fantasy, ensemble, based on webtoon, drama",netflix,https://www.imdb.com/title/tt18926162/?ref_=nv_sr_srsg_9,1
Touch Your Heart,진심이 닿다,When Sincerity Reaches___Reach of Sincerity,1,resolved,Viki,1,-done,"swoonworthy, charming, comedy, courtroom, romantic, heartfelt",netflix,https://www.imdb.com/title/tt9466990/?ref_=nv_sr_srsg_0,1
Train to Busan,부산행부산행,釜山行___To Busan,1,sk vpn,netflix,1,-done,"horror, supernatural, action, zombie",listed,https://www.imdb.com/title/tt5700672/?ref_=nv_sr_srsg_0,1
True Beauty,여신강림,女神降臨___The Advent of a Goddess,1,---,viki,1,-done,"drama, romance, comedy",viki,https://www.imdb.com/title/tt13274038/?ref_=nv_sr_srsg_0,1
Tune in for Love,유열의 음악앨범,Yoo Yeol's Music Album,1,---,netflix,1,-done,"nostalgic, understated, drama, heartfelt, romantic",netflix,https://www.imdb.com/title/tt10763618/?ref_=nv_sr_srsg_0,1
Twenty Five Twenty One,스물다섯 스물하나,---,1,---,netflix,1,-done,"nostalgic, inspiring, drama, romantic, intimate",netflix,https://www.imdb.com/title/tt17513352/?ref_=nv_sr_srsg_0,1
Twogether,투게더,We Go Twogether,1,---,Netflix,1,-done,"feel-good, lifestyle, travel, reality, food",netflix,https://www.imdb.com/title/tt12486430/?ref_=nv_sr_srsg_2,1
Vagabond,배가본드,---,1,---,netflix,1,-done,"exciting, thriller, spy, drama",netflix,https://www.imdb.com/title/tt8523042/?ref_=nv_sr_srsg_0,1
Veteran,베테랑,---,1,---,netflix,1,-done,"slick, exciting, film noir, action, adventure",netflix,https://www.imdb.com/title/tt4768764/?ref_=nv_sr_srsg_0,1
Vincenzo,빈센조,---,1,---,Netflix,1,-done,"dramedy, drama, comedy, corruption, social issue",netflix,https://www.imdb.com/title/tt13433812/?ref_=nv_sr_srsg_0,1
Voice,보이스,The Voice,1,"Note: there is a Thai OA version
sk vpn",netflix,1,-done,"rousing, dark, thriller, crime, suspenseful",netflix,https://www.imdb.com/title/tt6212854/?ref_=nv_sr_srsg_0,1
Warning: Do Not Play,암전,---,1,skvpn,Netflix,1,-done,"scary, dark, supernatural, horror",listed,https://www.imdb.com/title/tt10801398/?ref_=nv_sr_srsg_0,1
Was It Love?,"우리, 사랑했을까",Did We Love?,1,sk vpn,netflix,1,-done,"charming, heartfelt, dramedy, drama, comedy, romantic",netflix,https://www.imdb.com/title/tt12525622/?ref_=nv_sr_srsg_0,1
Welcome to Waikiki,으라차차 와이키키,---,1,sk vpn,netflix,1,-done,"quirky, goofy, sitcom, comedy",netflix,https://www.imdb.com/title/tt7890304/?ref_=nv_sr_srsg_0,1
Welcome to Wedding Hell,결혼백서,Marriage White Paper,1,---,netflix,1,-done,"romantic, drama, marriage",netflix,https://www.imdb.com/title/tt20192096/?ref_=nv_sr_srsg_0,1
What Happened to Mr. Cha?,차인표,---,1,---,netflix,1,-done,"absurd, comedy, celebrities",netflix,https://www.imdb.com/title/tt13667212/?ref_=nv_sr_srsg_0,1
What's Wrong with Secretary Kim?,김비서가 왜 그럴까,Why Would Secretary Kim Do That?___Why Secretary Kim?,1,---,viki,1,-done,"drama, romance, comedy",listed,https://www.imdb.com/title/tt8242904/?ref_=nv_sr_srsg_0,1
When My Love Blooms,화양연화 - 삶이 꽃이 되는 순간,The Most Beautiful Moment in Life — The Moment Life Becomes a Flower,1,resolved,viki,1,-done,"sentimental, understated, drama, romantic, intimate",netflix,https://www.imdb.com/title/tt12358696/?ref_=nv_sr_srsg_0,1
When the Camellia Blooms,동백꽃 필 무렵,---,1,---,netflix,1,-done,"romantic, drama, family relationship",netflix,https://www.imdb.com/title/tt10826064/?ref_=nv_sr_srsg_0,1
While You Were Sleeping,당신이 잠든 사이에,WYWS,1,---,viki,1,-done,"romance, comedy, fantasy, drama",listed,https://www.imdb.com/title/tt6256484/?ref_=nv_sr_srsg_3,1
White Nights,불야성,不夜城___Night Light,1,sk vpn,netflix,1,-done,"drama, rags to riches",netflix,https://www.imdb.com/title/tt6168004/?ref_=fn_tt_tt_4,1
Wish You,위시 유 : 나의 마음속 너의 멜로디 (영화),Wish You: Your Melody from My Heart (Movie),1,---,Netflix,1,-done,"sentimental, understated, drama, lgbtq, romantic",netflix,https://www.imdb.com/title/tt13866142/?ref_=nv_sr_srsg_1,1
Yaksha: Ruthless Operations,야차,夜叉,1,---,Netflix,1,-done,"gritty, dark, action, spy, adventure, suspenseful",netflix,https://www.imdb.com/title/tt12663250/?ref_=nv_sr_srsg_0,1
YG Future Strategy Office,YG전략자료본부,YG Strategic Resource Center,1,---,netflix,1,-done,"offbeat, raunchy, mockumentary, sitcom, comedy, irreverent",netflix,https://www.imdb.com/title/tt8129694/?ref_=nv_sr_srsg_0,1
Yoo Byung Jae: Discomfort Zone,---,---,1,---,netflix,1,-done,"deadpan, stand-up, social, comedy",netflix,https://www.imdb.com/title/tt8948740/?ref_=nv_sr_srsg_1,1
Yoo Byung Jae: Too Much Information,---,---,1,---,netflix,1,-done,"stand-up, comedy",netflix,https://www.imdb.com/title/tt8140738/?ref_=nv_sr_srsg_5,1
You Are My Spring,너는 나의 봄,---,1,---,Netflix,1,-done,"intimate, suspenseful, drama, romantic",netflix,https://www.imdb.com/title/tt14169816/?ref_=nv_sr_srsg_0,1
Cafe Minamdang,미남당,---,1,---,Netflix,1,-done,"suspenseful, thriller, serial killer, crime, based on books",netflix,https://www.imdb.com/title/tt21049186/?ref_=nv_sr_srsg_0,1
Extraordinary Attorney Woo,이상한 변호사 우영우,Strange Lawyer Woo Young-woo,1,---,Netflix,1,-done,"heartfelt, inspiring, drama, courtroom, social issue",netflix,https://www.imdb.com/title/tt20869502/?ref_=nv_sr_srsg_0,1
Coco Mong,코코몽,---,1,---,Netflix,1,-done,"goofy, educational, kids",netflix,https://www.imdb.com/title/tt9892608/,1
Miniforce,미니특공대,---,1,---,netflix,1,-done,"goofy, exciting, kids, cartoon",netflix,https://www.imdb.com/title/tt9198020/?ref_=nv_sr_srsg_0,1
Miniforce X,미니특공대X,---,1,---,netflix,1,-done,"exciting, kids, superpowers, cartoon",netflix,https://www.imdb.com/title/tt10339932/?ref_=nv_sr_srsg_6,1
Alchemy of Souls,환혼,還魂,1,---,Netflix,1,-done,"intimate, romantic, fantasy",netflix,https://www.imdb.com/title/tt20859920/?ref_=nv_sr_srsg_0,1
Change Days,체인지 데이즈,---,1,"Season 2 only on netflix
Currently releasing
e13-14 remains",Netflix,2,-done,"soapy, reality, wedding, romance",netflix,https://mydramalist.com/710991-change-days-season-2,0
Eve,이브,---,1,missing s1e13-16,viki,2,-done,"melodrama, drama",viki,https://www.imdb.com/title/tt20723826/?ref_=nv_sr_srsg_10,1
I Am Not a Robot,로봇이 아니야,I’m Not a Robot___She's Not a Robot?!,1,only ep1-20,viki,2,-done,"romantic, comedy, drama",listed,https://www.imdb.com/title/tt7521778/?ref_=nv_sr_srsg_0,1
Insider,인사이더,---,1,"sk vpn
only episodes 1-6",netflix,2,-done,"action, thriller, suspense, crime, mystery",listed,https://www.imdb.com/title/tt14731504/?ref_=nv_sr_srsg_2,1
Mouse,마우스,---,1,only ep1-20,viki,2,-done,"thriller, suspense, drama",listed,https://www.imdb.com/title/tt13634792/?ref_=nv_sr_srsg_0,1
Red Sky,홍천기,紅天機___Lovers of the Red Sky,1,---,viki,3,-done,"romance, fantasy, period piece",viki,https://www.imdb.com/title/tt13776460/?ref_=nv_sr_srsg_3,1
"Rich Man, Poor Woman",리치맨,Rich Man,1,---,viki,3,-done,"drama, romance, comedy",listed,https://www.imdb.com/title/tt8178468/,1
Strong Girl Bong-soon,힘쎈여자 도봉순,Strong Woman Do Bong Soon___Powerful Woman Do Bong Soon___Strong Girl Do Bong Soon,1,sk vpn,netflix,3,-done,"quirky, romantic, superhero, drama, comedy",listed,https://www.imdb.com/title/tt6263222/?ref_=nv_sr_srsg_0,1
The Legend of the Blue Sea,푸른 바다의 전설,Legend of the Blue Sea___The Legends of the Blue Sea___LBS,1,---,viki,3,-done,"romance, comedy, fantasy, drama",listed,https://www.imdb.com/title/tt5766194/?ref_=nv_sr_srsg_0,1
A Model Family,모범가족,Exemplary Family,1,---,netflix,1,-done,"suspenseful, thriller, drug lord, crime",netflix,https://www.imdb.com/title/tt21289712/,1
Seoul Vibe,서울대작전,Seoul Grand Operation,1,---,netflix,1,-done,"action, adventure, exciting",netflix,https://www.imdb.com/title/tt13611770/,1